tmdb_id,imdb_id,original_language,original_title,genre_id,release_date,video,adult,popularity,tmdb_rating_avg,tmdb_vote_count,imdb_rating,imdb_votes,providers,iso_country,country_name,budget,revenue,runtime
257445,tt1051904,en,Goosebumps,"['Fantasy', 'Action', 'Adventure']",5/08/2015,False,False,34.488,6.3,3356,6.3,90298,"['Amazon Prime Video', 'Stan']",US,United States of America,58000000,158162788,103
337958,tt3680410,en,Last Cab to Darwin,[],6/08/2015,False,False,4.665,7.0,56,7.2,3953,['Netflix'],AU,Australia,0,0,124
531766,tt4952148,en,A Doctor's Sword,['Documentary'],7/08/2015,False,False,1.595,5.0,3,8.1,69,['Amazon Prime Video'],IE,Ireland,0,0,70
348213,tt3592296,en,Graceful Girls,"['Action', 'Adventure', 'Thriller']",9/08/2015,False,False,0.6,0.0,0,7.7,18,['Amazon Prime Video'],AU,Australia,0,0,95
358332,tt4957236,en,Cosmos Laundromat,['Comedy'],10/08/2015,False,False,3.853,6.5,34,6.9,974,['Netflix'],NL,Netherlands,0,0,12
387742,tt4765902,en,I Think My Babysitter is an Alien,[],11/08/2015,False,False,1.042,5.0,2,5.0,69,['Amazon Prime Video'],US,United States of America,0,0,80
277216,tt1398426,en,Straight Outta Compton,"['Drama', 'Comedy', 'Western']",11/08/2015,False,False,43.528,7.8,3372,7.8,204498,['Netflix'],US,United States of America,28000000,201634991,147
355111,tt4955162,en,Barbie in Rock 'N Royals,"['Fantasy', 'Science Fiction', 'Thriller']",12/08/2015,False,False,21.363,6.9,250,5.9,1031,['Stan'],US,United States of America,0,0,84
203801,tt1638355,en,The Man from U.N.C.L.E.,"['Comedy', 'Drama']",13/08/2015,False,False,33.617,7.1,5557,7.2,311999,['Netflix'],US,United States of America,75000000,108145109,116
193687,tt1598642,en,Z for Zachariah,['Horror'],13/08/2015,False,False,12.46,5.6,813,6.0,31407,['Stan'],IS,Iceland,0,121461,97
347642,tt4264426,en,Bite,"['Documentary', 'Adventure', 'Drama', 'Family']",15/08/2015,False,False,19.623,5.4,128,4.9,5213,['Amazon Prime Video'],CA,Canada,0,0,90
354818,tt4392266,en,Colin Quinn: Unconstitutional,['Horror'],16/08/2015,False,False,2.181,6.9,9,7.1,487,['Amazon Prime Video'],US,United States of America,0,0,55
225728,tt2884018,en,Macbeth,"['Crime', 'Thriller', 'Horror']",16/08/2015,False,False,14.042,6.5,1312,6.6,57501,['Stan'],FR,France,15000000,16322067,113
